pair,schedule,accepted,reject_reason,quality_flag,pair_zncc_in,pair_zncc_out,pair_zncc_delta,improved_count,worse_count,net_improved,delta_median,delta_p05,repaired_clusters,baseline_weak_clusters,wall_s,error
1124-1122,fine128,False,quality_flag,True,0.14758256539994924,0.1453118494961592,-0.0022707159037900493,1172,1252,-80,-0.00041592632066000945,-0.027033427120078363,141,246,37.827863186998,
191-193,dense256,True,,False,0.15025182504548293,0.47624693706189547,0.3259951120164125,3254,97,3157,0.3529571839874076,0.03543784890005771,338,358,55.831056066999736,
191-193,fine128,True,,False,0.15025182504548293,0.46758236366445705,0.3173305386189741,3230,122,3108,0.34518687748002047,0.020012748690301972,340,358,204.94274920300086,
917-916,dense256,True,,False,0.1505321713884989,0.1613085563685869,0.01077638498008801,1707,740,967,0.012400385786817736,-0.03157508786853263,170,201,61.72007474999555,
917-916,fine128,True,,False,0.1505321713884989,0.1661015834091696,0.01556941202067072,2232,219,2013,0.029953564977140912,-0.004425373893484571,191,201,623.9919029970042,
60-64,dense256,True,,False,0.15250751887317937,0.4879434457606413,0.33543592688746193,2040,303,1737,0.336861890363935,-0.058089925641439805,119,121,43.299367133004125,
60-64,fine128,True,,False,0.15250751887317937,0.5012830531482,0.3487755342750206,2100,242,1858,0.34931851054721763,-0.04277240217680778,119,121,91.54614689200389,
1285-1282,dense256,True,,False,0.1533248434467195,0.19339895109929717,0.040074107652577656,1931,496,1435,0.03307386641194085,-0.030846165739718174,189,203,32.40434967799956,
1285-1282,fine128,False,quality_flag,True,0.1533248434467195,0.18282615663430818,0.029501313187588668,1685,740,945,0.02477793952020098,-0.06594714634925401,184,203,60.473917686002096,
1133-1130,dense256,True,,False,0.15405895389904584,0.15410818097288953,4.922707384369396e-05,1245,1224,21,9.997516534252654e-05,-0.02472916643512923,135,230,41.906878677997156,
1133-1130,fine128,False,quality_flag,True,0.15405895389904584,0.15414432246624526,8.536856719942865e-05,1032,1433,-401,-0.002068575886562077,-0.03775012868556875,114,230,46.42953141599719,
706-705,dense256,True,,False,0.1540715290668569,0.3756957230710642,0.2216241940042073,2250,108,2142,0.35079957836304687,0.002954599961127109,142,142,43.24274134099687,
